adapts,deltas,ns,train_losses,valid_losses
True,0.01,1,4.395280761865415,4.554502523282496
False,0.01,1,4.395225177647978,4.654394471565058
True,0.01,2,3.399510384914733,3.956107392353803
False,0.01,2,3.398594795383459,4.259493242763346
True,0.01,3,2.6346441263508593,3.7782947212694387
False,0.01,3,2.630464194935963,4.74827770738128
True,0.01,4,1.925740805371754,3.6164258926570536
False,0.01,4,1.915295503156194,5.978881923114923
True,0.01,5,1.532480685851863,3.5538212701787746
False,0.01,5,1.514083737618871,6.447868784254001
True,0.01,6,1.330515018003711,3.844930675086654
False,0.01,6,1.3052623913214658,6.38311606068973
True,0.01,7,1.2042753156011583,4.3025272622943955
False,0.01,7,1.1764109109951084,6.375705360906044
True,0.01,8,1.115885571007213,4.7594621793032825
False,0.01,8,1.0881923776396702,6.466795304363161
